date,name,venue,city,state,time,id
"Saturday, October 24, 2026",Northwest Valley Coin & Card Show,DoubleTree by Hilton Phoenix North,Phoenix,AZ,9:00 AM - 2:30 PM,20710
"Saturday, October 24, 2026",Sports Cards and Collectible Show,Doubletree By Hilton,Phoenix,AZ,9:00 AM - 2:00 PM,19668
"Saturday, November 7, 2026",Phoenix VIP Sports Card Show,VFW Phoenix,Phoenix,AZ,8:00 AM - 1:00 PM,12225
"Saturday, November 21, 2026",Northwest Valley Coin & Card Show,DoubleTree by Hilton Phoenix North,Phoenix,AZ,9:00 AM - 2:30 PM,20711
"Saturday, November 21, 2026",Sports Cards and Collectible Show,Doubletree By Hilton,Phoenix,AZ,9:00 AM - 2:00 PM,19669
"Sunday, November 22, 2026",Diamond in the Ruff Sportscard and Collectibles Show,Sun City West Foundation,Sun City West,AZ,1:00 PM - 5:00 PM,19204
"Saturday, December 5, 2026",Overtime Sports Collectible Card Show,Encore Tucson,Tucson,AZ,10:00 AM - 5:00 PM,21584
"Saturday, December 5, 2026",Phoenix VIP Sports Card Show,VFW Phoenix,Phoenix,AZ,8:00 AM - 1:00 PM,12226
"Saturday, December 5, 2026",Sports Cards and Collectible Show,University Presbyterian Church,Tempe,AZ,10:00 AM - 3:00 PM,20336
"Sunday, December 6, 2026",Diamond in the Ruff Sportscard and Collectibles Show,Sun City West Foundation,Sun City West,AZ,1:00 PM - 5:00 PM,19205
"Saturday, December 19, 2026",Northwest Valley Coin & Card Show,DoubleTree by Hilton Phoenix North,Phoenix,AZ,9:00 AM - 2:30 PM,20712
"Sunday, December 20, 2026",Holiday Bash Card Show,Arya Reception Hall,Mesa,AZ,10:00 AM - 6:00 PM,18410
