League,Source file,0,1,2,3,4,5,6,Conference,Division,Team,City,Arena,Founded,Joined
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Western,West,Val-d'Or Foreurs,"Val-d'Or, Quebec",Centre Agnico Eagle,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Western,Central,Drummondville Voltigeurs,"Drummondville, Quebec",Centre Marcel Dionne,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Western,Central,Shawinigan Cataractes,"Shawinigan, Quebec",Centre Gervais Auto,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Western,Central,Sherbrooke Phoenix,"Sherbrooke, Quebec",Palais des Sports,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Western,Central,Victoriaville Tigres,"Victoriaville, Quebec",Colisée Desjardins,,
Western Hockey League,Western_Hockey_League.html,,,,,,,,,Central,Calgary Hitmen,"Calgary, Alberta",Scotiabank Saddledome,1994,1995
Western Hockey League,Western_Hockey_League.html,,,,,,,,,Central,Edmonton Oil Kings,"Edmonton, Alberta",Rogers Place,2006,2007
Western Hockey League,Western_Hockey_League.html,,,,,,,,,Central,Lethbridge Hurricanes,"Lethbridge, Alberta",VisitLethbridge.com Arena,1967*,1967*
Western Hockey League,Western_Hockey_League.html,,,,,,,,,Central,Medicine Hat Tigers,"Medicine Hat, Alberta",Co-op Place,1970,1970
Western Hockey League,Western_Hockey_League.html,,,,,,,,,Central,Red Deer Rebels,"Red Deer, Alberta",Marchant Crane Centrium,1991,1992
Western Hockey League,Western_Hockey_League.html,,,,,,,,,East,Brandon Wheat Kings,"Brandon, Manitoba",Keystone Centre,1936,1967
Western Hockey League,Western_Hockey_League.html,,,,,,,,,East,Moose Jaw Warriors,"Moose Jaw, Saskatchewan",Temple Gardens Centre,1980*,1980*
Western Hockey League,Western_Hockey_League.html,,,,,,,,,East,Prince Albert Raiders,"Prince Albert, Saskatchewan",Art Hauser Centre,1971,1982
Western Hockey League,Western_Hockey_League.html,,,,,,,,,East,Regina Pats,"Regina, Saskatchewan",Brandt Centre,1917,1966
Western Hockey League,Western_Hockey_League.html,,,,,,,,,East,Saskatoon Blades,"Saskatoon, Saskatchewan",SaskTel Centre,1964,1966
