League,Source file,Division,Team,Home,Arena,0,1,2,3,4,5,6,7,8,9,10,Conference,City,Centre,Joined
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Navan Grads,Navan Memorial Centre (737),2017,Carleton Place Jr. Canadians,,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Nepean Raiders,"Nepean Sportsplex (2,200)",1972,Ottawa West Golden Knights / Winchester Hawks,,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Ottawa Jr. Senators,Jim Durrell Recreation Centre (794),1979,Ottawa Canadians,,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Rockland Nationals,"Clarence-Rockland Arena (2,068)",2017,,,,,,,,,,,,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Eddie Mountain,Columbia Valley Rockies,,Eddie Mountain Memorial Arena,,,,,,,,,,,,Kootenay,"Invermere, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Eddie Mountain,Creston Valley Thunder Cats,,Johnny Bucyk Arena,,,,,,,,,,,,Kootenay,"Creston, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Eddie Mountain,Fernie Ghostriders,,Fernie Memorial Arena,,,,,,,,,,,,Kootenay,"Fernie, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Eddie Mountain,Golden Rockets,,Golden Arena,,,,,,,,,,,,Kootenay,"Golden, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Eddie Mountain,Kimberley Dynamiters,,Kimberley Civic Centre,,,,,,,,,,,,Kootenay,"Kimberley, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Neil Murdoch,Beaver Valley Nitehawks,,Beaver Valley Arena,,,,,,,,,,,,Kootenay,"Fruitvale, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Neil Murdoch,Castlegar Rebels,,Castlegar Rec Centre,,,,,,,,,,,,Kootenay,"Castlegar, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Neil Murdoch,Grand Forks Border Bruins,,Jack Goddard Memorial Arena,,,,,,,,,,,,Kootenay,"Grand Forks, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Neil Murdoch,Nelson Leafs,,Nelson Community Complex,,,,,,,,,,,,Kootenay,"Nelson, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Neil Murdoch,Spokane Braves,,Eagles Ice Arena,,,,,,,,,,,,Kootenay,"Spokane, WA",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Doug Birks,100 Mile House Wranglers,,South Cariboo Recreation Centre,,,,,,,,,,,,Okanagan,"100 Mile House, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Doug Birks,Chase Heat,,Art Holding Memorial Arena,,,,,,,,,,,,Okanagan,"Chase, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Doug Birks,Kamloops Storm,,McArthur Island Sports & Events Centre,,,,,,,,,,,,Okanagan,"Kamloops, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Doug Birks,Williams Lake Mustangs,,Cariboo Memorial Recreation Center,,,,,,,,,,,,Okanagan,"Williams Lake, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Doug Birks,Quesnel River Rush,,West Fraser Arena,,,,,,,,,,,,Okanagan,"Quesnel, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Bill Ohlhausen,Kelowna Chiefs,,Rutland Arena,,,,,,,,,,,,Okanagan,"Kelowna, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Bill Ohlhausen,Merritt Centennials,,Nicola Valley Memorial Arena,,,,,,,,,,,,Okanagan,"Merritt, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Bill Ohlhausen,Osoyoos Coyotes,,Osoyoos Sunbowl Arena,,,,,,,,,,,,Okanagan,"Osoyoos, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Bill Ohlhausen,Princeton Posse,,Princeton District Arena,,,,,,,,,,,,Okanagan,"Princeton, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Bill Ohlhausen,Revelstoke Grizzlies,,Revelstoke Forum,,,,,,,,,,,,Okanagan,"Revelstoke, BC",,
Kootenay International Junior Hockey League,Kootenay_International_Junior_Hockey_League.html,Bill Ohlhausen,Sicamous Eagles,,Sicamous District Recreation Centre,,,,,,,,,,,,Okanagan,"Sicamous, BC",,
