League,Source file,Team,Centre,Home arena,Year Joined,Founded,1st Season,0,1,2,First season,3,4,5,Senior Teams,Formed
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Team,,,Centre,Founded,Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Alliston Hornets,,,Alliston,1971,New Tecumseth Recreation Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Huntsville Otters,,,Huntsville,1990,Canada Summit Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Innisfil Spartans,,,Innisfil,2022,Innisfil Recreation Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Midland Flyers,,,Midland,1978,North Simcoe Sports & Recreation Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Muskoka Bears,,,Bracebridge,2024,Muskoka Lumber Community Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Orillia Terriers,,,Orillia,2013,West Orillia Sports Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Penetang Kings,,,Penetanguishene,1977,Penetanguishene Memorial Community Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Stayner Siskins,,,Stayner,1972,Stayner Memorial Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Pollock Division,Pollock Division,,Pollock Division,Pollock Division,Pollock Division,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Team,,,Centre,Founded,Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Fergus Whalers,,,Fergus,2023,Centre Wellington Community Sportsplex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Hanover Barons,,,Hanover,1964,P&H Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Kincardine Bulldogs,,,Kincardine,1994,Davidson Centre Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Mitchell Hawks,,,Mitchell,1966,Mitchell & District Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Mount Forest Patriots,,,Mount Forest,1987,Mount Forest & District Community Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Walkerton Capitals,,,Walkerton,1976,Walkerton Community Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Wingham Ironmen,,,Wingham,1975,North Huron Wescast Community Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,South Conference,South Conference,,South Conference,South Conference,South Conference,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Doherty Division,Doherty Division,,Doherty Division,Doherty Division,Doherty Division,,
