League,Source file,Team,Association,Division,Centre,City/Area,Arena,Founded,0,1,2,3,4,5,6,7,Head coach,Joined,City,Comments,Don Johnson - Jr B,1st Year,Titles,8,9,10,Home
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Montmagny Caron Industries,"Montmagny, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,St-Romuald L'Expert,"Lévis, Quebec",,,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Martin Division,Martin Division,Martin Division,Martin Division,Martin Division,Martin Division,Martin Division,Martin Division,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Team,Centre,Founded,CCHL Affiliate,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Casselman Vikings,Casselman,2008,,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Embrun Panthers,Embrun,1972,,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Glengarry Brigade,Alexandria,2024,,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Ottawa Canadians,Ottawa,1973,Ottawa Jr. Senators,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Ottawa West Golden Knights,Ottawa,1983,Nepean Raiders,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Winchester Hawks,Winchester,1971,Nepean Raiders,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Richardson Division,Richardson Division,Richardson Division,Richardson Division,Richardson Division,Richardson Division,Richardson Division,Richardson Division,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Team,Centre,Founded,CCHL Affiliate,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Arnprior Packers,Arnprior,1965,,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Athens Aeros,Athens,1968,,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Carleton Place Jr. Canadians,Carleton Place,1980,Carleton Place Canadians,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Perth Blue Wings,Perth,1936,,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Richmond Royals,Ottawa,1968,,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Smiths Falls Jr. Bears,Smiths Falls,1967,Smiths Falls Bears,,,,,,,,,,,,,,,
Eastern Ontario Junior Hockey League,Eastern_Ontario_Junior_Hockey_League.html,,,,,,,,Renfrew Timberwolves,Renfrew,1987,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,,"Estrie Division Team Centre Acton Vale Airboss Acton, Quebec Cowansville Nordik Cowansville, Quebec Sherbrooke Hockey Experts Sherbrooke, Quebec Sherbrooke Impact Sherbrooke, Quebec Mauricie Division Team Centre Nicolet Pneu Jutras Nicolet, Quebec Plessisville V. Boutin Plessisville, Quebec St-Tite Mustangs Saint-Tite, Quebec Trois-Rivieres Draveurs Trois-Rivieres, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Estrie Division,Estrie Division,,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Acton Vale Airboss,"Acton, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Cowansville Nordik,"Cowansville, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Sherbrooke Hockey Experts,"Sherbrooke, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Sherbrooke Impact,"Sherbrooke, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Mauricie Division,Mauricie Division,,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Nicolet Pneu Jutras,"Nicolet, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Plessisville V. Boutin,"Plessisville, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,St-Tite Mustangs,"Saint-Tite, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Trois-Rivieres Draveurs,"Trois-Rivieres, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Estrie Division,Estrie Division,,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Acton Vale Airboss,"Acton, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Cowansville Nordik,"Cowansville, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Sherbrooke Hockey Experts,"Sherbrooke, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Sherbrooke Impact,"Sherbrooke, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Mauricie Division,Mauricie Division,,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Nicolet Pneu Jutras,"Nicolet, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Plessisville V. Boutin,"Plessisville, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,St-Tite Mustangs,"Saint-Tite, Quebec",,,,,,,,,,,,,,,,,
Estrie-Mauricie Junior AA Hockey League,Estrie-Mauricie_Junior_AA_Hockey_League.html,,,,,,,,Trois-Rivieres Draveurs,"Trois-Rivieres, Quebec",,,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Team,City,Arena,Founded,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Chatham Maroons,"Chatham, Ontario",Chatham Memorial Arena,1959,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Elmira Sugar Kings,"Elmira, Ontario",Woolwich Memorial Centre,1987,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Waterloo Siskins,"Waterloo, Ontario",Waterloo Memorial Recreation Complex,1971,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Komoka Kings,"Komoka, Ontario",Komoka Wellness Centre,2017,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,LaSalle Vipers,"LaSalle, Ontario",Vollmer Culture and Recreation Complex,1970,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Listowel Cyclones,"Listowel, Ontario",Steve Kerr Memorial Complex,1972,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,London Nationals,"London, Ontario",Western Fair District Sports Centre,1950,,,,,,,,,,,,,,,
