League,Source file,Team,Association,Division,Centre,City/Area,Arena,Founded,0,1,2,3,4,5,6,7,Head coach,Joined,City,Comments,Don Johnson - Jr B,1st Year,Titles,8,9,10,Home
Saguenay-Lac-St-Jean Junior AA Hockey League,Saguenay-Lac-St-Jean_Junior_AA_Hockey_League.html,,,,,,,,Jonquiere Marquis,"Jonquière, Quebec",,,,,,,,,,,,,,,,,
Saguenay-Lac-St-Jean Junior AA Hockey League,Saguenay-Lac-St-Jean_Junior_AA_Hockey_League.html,,,,,,,,Roberval Sabres,"Roberval, Quebec",,,,,,,,,,,,,,,,,
Saguenay-Lac-St-Jean Junior AA Hockey League,Saguenay-Lac-St-Jean_Junior_AA_Hockey_League.html,,,,,,,,Normandin Eperviers,"Normandin, Quebec",,,,,,,,,,,,,,,,,
Saguenay-Lac-St-Jean Junior AA Hockey League,Saguenay-Lac-St-Jean_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Saguenay-Lac-St-Jean Junior AA Hockey League,Saguenay-Lac-St-Jean_Junior_AA_Hockey_League.html,,,,,,,,Alma Aiglons,"Alma, Quebec",,,,,,,,,,,,,,,,,
Saguenay-Lac-St-Jean Junior AA Hockey League,Saguenay-Lac-St-Jean_Junior_AA_Hockey_League.html,,,,,,,,Chicoutimi Saguenéens,"Chicoutimi, Quebec",,,,,,,,,,,,,,,,,
Saguenay-Lac-St-Jean Junior AA Hockey League,Saguenay-Lac-St-Jean_Junior_AA_Hockey_League.html,,,,,,,,Jonquiere Marquis,"Jonquière, Quebec",,,,,,,,,,,,,,,,,
Saguenay-Lac-St-Jean Junior AA Hockey League,Saguenay-Lac-St-Jean_Junior_AA_Hockey_League.html,,,,,,,,Roberval Sabres,"Roberval, Quebec",,,,,,,,,,,,,,,,,
Saguenay-Lac-St-Jean Junior AA Hockey League,Saguenay-Lac-St-Jean_Junior_AA_Hockey_League.html,,,,,,,,Normandin Eperviers,"Normandin, Quebec",,,,,,,,,,,,,,,,,
St. John s Junior Hockey League,St._John_s_Junior_Hockey_League.html,Avalon Jr. Celtics,,,,,,,,,,,,,,,,,,,,,,,,,St. John’s
St. John s Junior Hockey League,St._John_s_Junior_Hockey_League.html,CBN Jr. Stars,,,,,,,,,,,,,,,,,,,,,,,,,Bay Roberts
St. John s Junior Hockey League,St._John_s_Junior_Hockey_League.html,CBR Jr. Renegades,,,,,,,,,,,,,,,,,,,,,,,,,Conception Bay South
St. John s Junior Hockey League,St._John_s_Junior_Hockey_League.html,Mount Pearl Jr. Blades,,,,,,,,,,,,,,,,,,,,,,,,,Mount Pearl
St. John s Junior Hockey League,St._John_s_Junior_Hockey_League.html,Northeast Jr. Eagles,,,,,,,,,,,,,,,,,,,,,,,,,Torbay
St. John s Junior Hockey League,St._John_s_Junior_Hockey_League.html,Paradise Jr. Warriors,,,,,,,,,,,,,,,,,,,,,,,,,Paradise
St. John s Junior Hockey League,St._John_s_Junior_Hockey_League.html,St. John's Jr. Caps,,,,,,,,,,,,,,,,,,,,,,,,,St. John's
St. John s Junior Hockey League,St._John_s_Junior_Hockey_League.html,Southern Shore Jr. Breakers,,,,,,,,,,,,,,,,,,,,,,,,,Witless Bay
